"Country A","Country B","Type","Date of signature","Effective","Status","Source","WHTrates","PE","Other","UN","5(3)(a)C","5(3)(a)S","5(3)(b)","5(4)(a)","5(4)(b)","5(5)(b)","5(6)","5(7)","7(1)(b&c)","7(3)","8(2)","10(2)(a)Q","10(2)(a)T","10(2)(b)","11(2)","11(2)F","12(2)","12(2)C","12(2)E","12(A)","13(4)","13(5)","14","16(2)","21(3)","25B(5)","27","29"
"Australia","Indonesia","Amended by MLI","2017","2020","In Force","0.65","0.48","0.85","0.63","0.71","4","YES","4","NO","NO","YES","NO","YES","YES","YES","NO","15","","15","10","10","15","15","10","0","YES","NO","YES","NO","YES","NO","NO","PPT"
"Austria","Mongolia","Original","2003","2005","In Force","0.16","0.28","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","10","10","10","10","5","10","0","0","NO","NO","YES","NO","NO","YES","NO","NA"
"Austria","Nepal","Original","2000","2002","In Force","0.5","0.41","0.72","0.38","0.53","6","YES","6","YES","YES","YES","YES","YES","NO","YES","NO","5","25","15","15","10","15","15","0","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Austria","Philippines","Original","1981","1983","In Force","0.59","0.56","0.59","0.63","0.59","6","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","10","10","25","15","15","15","15","15","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Austria","Vietnam","Original","2008","2011","In Force","0.66","0.5","0.84","0.63","0.76","6","YES","NO","NO","NO","YES","YES","YES","NO","YES","NO","10","25","15","10","10","10","10","10","7.5","YES","YES","YES","NO","YES","NO","NO","NA"
"Austria","Egypt","Original","1962","1961","In Force","0.16","0.38","0.09","0","0.06","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","15","","15","15","15","0","0","0","0","NO","NO","NO","","NO","NO","NO","NA"
"Austria","Brazil","Original","1975","1977","In Force","0.38","0.54","0.22","0.38","0.29","6","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","15","","15","15","15","15","10","15","0","YES","YES","YES","NO","NO","NO","NO","NA"
"Austria","Tunisia","Original","1977","1978","In Force","0.36","0.48","0.34","0.25","0.29","6","YES","NO","YES","YES","NO","YES","NO","NO","YES","NO","10","25","20","10","10","15","10","15","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Austria","Thailand","Original","1985","1986","In Force","0.6","0.59","0.72","0.5","0.59","6","YES","6","YES","YES","YES","YES","YES","NO","NO","YES","15","25","NO LIMIT","25","10","15","15","15","0","NO","YES","YES","NO","YES","NO","NO","NA"
"Austria","Indonesia","Original","1986","1989","In Force","0.67","0.41","0.97","0.63","0.76","6","YES","3","NO","NO","YES","YES","YES","YES","YES","YES","10","25","15","10","10","10","10","10","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Austria","China","Original","1991","1993","In Force","0.47","0.32","0.47","0.63","0.53","6","YES","6","YES","YES","NO","NO","YES","NO","YES","NO","7","25","10","10","7","10","10","6","0","YES","YES","YES","NO","YES","NO","NO","NA"
"Austria","Uzbekistan","Original","2000","2002","In Force","0.21","0.31","0.06","0.25","0.12","12","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","10","15","10","10","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Austria","Azerbaijan","Original","2000","2002","In Force","0.35","0.38","0.31","0.38","0.29","12","NO","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Austria","Kyrgyzstan","Original","2001","2004","In Force","0.35","0.38","0.31","0.38","0.29","12","YES","12","YES","YES","NO","NO","NO","NO","YES","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Armenia","Austria","Original","2002","2005","In Force","0.36","0.25","0.33","0.5","0.38","9","NO","NO","YES","YES","NO","YES","YES","NO","YES","NO","5","10","15","10","0","5","5","5","0","YES","NO","YES","NO","YES","YES","NO","NA"
"Austria","Morocco","Original","2002","2007","In Force","0.31","0.34","0.34","0.25","0.29","6","NO","NO","YES","YES","NO","YES","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Austria","Iran","Original","2002","2005","In Force","0.29","0.19","0.56","0.13","0.29","12","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","5","25","10","5","0","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Austria","Original","2003","2006","In Force","0.22","0.31","0.09","0.25","0.18","6","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","10","15","10","0","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Austria","Moldova","Original","2004","2006","In Force","0.19","0.25","0.19","0.13","0.12","12","NO","NO","YES","YES","NO","YES","NO","NO","YES","NO","5","25","15","5","5","5","5","5","0","NO","NO","NO","NO","NO","NO","NO","NA"
"Austria","Venezuela","Original","2006","2008","In Force","0.45","0.28","0.45","0.63","0.5","9","NO","NO","YES","YES","YES","YES","YES","NO","YES","NO","5","15","15","10","4.95","5","5","5","0","YES","YES","YES","NO","YES","NO","NO","NA"
"Austria","North Macedonia","Original","2007","2008","In Force","0.05","0.09","0.06","0","0","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","10","15","0","0","","","","0","NO","NO","NO","NO","NO","YES","NO","NA"
"Albania","Austria","Original","2007","2009","In Force","0.23","0.25","0.33","0.13","0.21","9","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Austria","Bosnia and Herzegovina","Original","2010","2012","In Force","0.09","0.22","0.06","0","0","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","5","5","5","5","5","0","NO","NO","NO","NO","NO","YES","NO","NA"
"Austria","Tajikistan","Original","2011","2013","In Force","0.1","0.24","0.06","0","0","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","15","10","8","0","8","8","8","0","NO","NO","NO","NO","NO","NO","NO","NA"
"Austria","Turkmenistan","Original","2015","2017","In Force","0.18","0.34","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","25","15","10","10","10","10","10","0","YES","NO","NO","NO","NO","NO","NO","NA"
"Austria","Kosovo","Original","2018","2019","In Force","0.22","0.22","0.31","0.13","0.18","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","0","25","15","10","10","0","0","0","0","YES","NO","NO","NO","NO","YES","NO","PPT"
"Austria","Mexico","Amended by protocol","2009","2011","In Force","0.44","0.34","0.47","0.5","0.47","6","YES","6","YES","YES","NO","YES","NO","NO","YES","NO","5","10","10","10","10","10","10","10","0","YES","YES","NO","NO","YES","NO","YES","NA"
"Austria","South Africa","Amended by protocol","2011","2012","In Force","0.1","0.13","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","0","0","0","0","0","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Austria","Georgia","Amended by protocol","2012","2014","In Force","0.05","0.06","0.09","0","0.06","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","10","10","0","0","0","0","0","0","NO","NO","NO","NO","NO","NO","NO","NA"
"Austria","India","Amended by MLI","2017","2019","In Force","0.57","0.5","0.59","0.63","0.65","6","YES","NO","YES","YES","YES","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","10","YES","YES","YES","NO","YES","NO","YES","PPT"
"Austria","Pakistan","Amended by MLI","2017","2021","In Force","0.77","0.59","0.72","1","0.88","6","NO","NO","NO","NO","YES","YES","YES","YES","YES","YES","10","20","15","15","15","10","10","10","10","YES","YES","YES","YES","YES","NO","NO","PPT"
"Azerbaijan","Pakistan","Original","1996","1996","In Force","0.52","0.33","0.97","0.25","0.59","6","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","10","","10","10","10","10","10","0","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Vietnam","Original","2014","2015","In Force","0.74","0.5","0.97","0.75","0.88","6","YES","6","NO","NO","YES","YES","YES","YES","YES","NO","10","","10","10","10","10","10","10","10","YES","YES","YES","YES","NO","NO","NO","NA"
"Azerbaijan","United States","Pre-independence","1973","1976","In Force","0.09","0.13","0.14","0","","","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","","","","0","NO LIMIT","0","0","0","0","","","NO","","","NO","NO","NA"
"Azerbaijan","Cyprus","Pre-independence","1982","1983","In Force","0.1","0","0.31","0","0.13","12","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0","","0","0","0","0","0","0","0","NO","NO","NO","","NO","NO","NO","NA"
"Azerbaijan","Malaysia","Pre-independence","1987","1989","In Force","0.34","0.33","0.56","0.13","0.29","12","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","0","","0","15","15","10","15","10","0","NO","NO","NO","NO","YES","NO","NO","NA"
"Azerbaijan","India","Pre-independence","1988","1990","In Force","0.65","0.85","0.59","0.5","0.59","6","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","15","","15","15","15","20","15","20","20","NO","YES","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Turkey","Original","1994","1998","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","United Kingdom","Original","1994","1996","In Force","0.32","0.39","0.31","0.25","0.24","12","NO","6","YES","YES","NO","NO","YES","NO","NO","NO","10","30","15","10","10","10","5","10","0","YES","NO","YES","NO","NO","NO","NO","OTHER"
"Azerbaijan","Norway","Original","1996","1997","In Force","0.28","0.41","0.31","0.13","0.18","12","NO","6","YES","YES","NO","NO","YES","NO","NO","NO","10","30","15","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Uzbekistan","Original","1996","1997","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Georgia","Original","1997","1998","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Russia","Original","1997","1999","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Poland","Original","1997","2006","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Moldova","Original","1997","2000","In Force","0.44","0.34","0.59","0.38","0.47","6","YES","0","YES","YES","YES","NO","YES","NO","NO","NO","","","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Ukraine","Original","1999","2001","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Belarus","Original","2001","2003","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","France","Original","2001","2006","In Force","0.26","0.35","0.19","0.25","0.18","12","NO","6","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","5","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Romania","Original","2002","2005","In Force","0.38","0.32","0.44","0.38","0.35","12","YES","6","YES","YES","NO","NO","YES","YES","NO","NO","5","25","10","8","8","10","10","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Lithuania","Original","2004","2005","In Force","0.39","0.34","0.45","0.38","0.38","9","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Belgium","Original","2004","2007","In Force","0.31","0.35","0.31","0.25","0.24","12","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","5","30","15","10","10","10","5","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Italy","Original","2004","2013","In Force","0.34","0.33","0.44","0.25","0.29","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","10","","10","10","10","5","10","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Azerbaijan","Germany","Original","2004","2006","In Force","0.3","0.33","0.31","0.25","0.24","12","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","5","25","15","10","10","5","10","5","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Canada","Original","2004","2007","In Force","0.45","0.41","0.56","0.38","0.41","12","YES","6","YES","YES","NO","YES","YES","NO","NO","NO","10","10","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","OTHER"
"Azerbaijan","China","Original","2005","2006","In Force","0.37","0.38","0.44","0.29","0.31","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","","NO","NO","NA"
"Azerbaijan","Finland","Original","2005","2007","In Force","0.37","0.3","0.44","0.38","0.35","12","NO","6","YES","YES","NO","YES","YES","NO","NO","NO","5","25","10","10","10","5","10","5","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Latvia","Original","2005","2007","In Force","0.38","0.32","0.45","0.38","0.38","9","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","5","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Czechia","Original","2005","2007","In Force","0.59","0.32","0.95","0.5","0.68","9","YES","6","NO","NO","YES","YES","YES","YES","NO","NO","8","","8","10","5","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Switzerland","Original","2006","2008","In Force","0.33","0.3","0.44","0.25","0.29","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","20","15","10","5","5","10","5","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Luxembourg","Original","2006","2010","In Force","0.3","0.34","0.44","0.13","0.24","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","30","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","United Arab Emirates","Original","2006","2008","In Force","0.51","0.34","0.83","0.38","0.56","9","YES","6","NO","NO","YES","YES","NO","NO","NO","NO","10","","10","7","7","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Tajikistan","Original","2007","2009","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Qatar","Original","2007","2009","In Force","0.49","0.24","0.84","0.38","0.59","6","YES","6","NO","NO","YES","YES","NO","NO","NO","NO","7","","7","7","7","5","5","5","0","NO","NO","YES","YES","YES","NO","NO","NA"
"Azerbaijan","Estonia","Original","2007","2009","In Force","0.35","0.34","0.33","0.38","0.32","9","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Bulgaria","Original","2007","2009","In Force","0.42","0.31","0.69","0.25","0.41","12","YES","6","YES","YES","YES","YES","YES","NO","NO","NO","8","","8","7","7","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Hungary","Original","2008","2009","In Force","0.33","0.3","0.44","0.25","0.29","12","YES","6","YES","YES","NO","YES","NO","NO","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Jordan","Original","2008","2017","In Force","0.64","0.33","0.97","0.63","0.76","6","YES","6","NO","NO","YES","YES","YES","YES","YES","NO","8","","8","8","8","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","South Korea","Original","2008","2009","In Force","0.34","0.34","0.44","0.25","0.29","12","YES","6","YES","YES","NO","YES","NO","NO","NO","NO","7","","7","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Netherlands","Original","2008","2010","In Force","0.39","0.34","0.44","0.38","0.35","12","YES","6","YES","YES","NO","YES","NO","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Kuwait","Original","2009","2013","In Force","0.43","0.31","0.72","0.25","0.47","6","YES","6","YES","YES","YES","YES","YES","NO","YES","NO","5","15","10","7","7","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Greece","Original","2009","2011","In Force","0.46","0.3","0.83","0.25","0.5","9","YES","6","NO","NO","YES","YES","NO","NO","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Iran","Original","2009","2010","In Force","0.4","0.38","0.56","0.25","0.35","12","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Azerbaijan","Serbia","Original","2010","2011","In Force","0.57","0.38","0.95","0.38","0.62","9","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Slovenia","Original","2011","2013","In Force","0.38","0.33","0.56","0.25","0.35","12","YES","6","YES","YES","NO","YES","YES","NO","NO","NO","8","","8","8","8","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Croatia","Original","2012","2014","In Force","0.39","0.34","0.44","0.38","0.35","12","YES","6","YES","YES","NO","YES","NO","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Azerbaijan","Bosnia and Herzegovina","Original","2012","2014","In Force","0.49","0.38","0.84","0.25","0.53","6","YES","6","NO","NO","YES","YES","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Montenegro","Original","2013","2014","In Force","0.52","0.38","0.94","0.25","0.53","12","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","North Macedonia","Original","2013","2014","In Force","0.33","0.3","0.44","0.25","0.29","12","YES","NO","YES","YES","NO","YES","YES","NO","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Saudi Arabia","Original","2014","2016","In Force","0.59","0.3","0.84","0.63","0.71","6","YES","6","NO","NO","YES","NO","YES","YES","YES","NO","7","","7","7","7","10","10","10","0","NO","YES","YES","NO","YES","NO","NO","OTHER"
"Azerbaijan","San Marino","Original","2015","2017","In Force","0.5","0.3","0.94","0.25","0.53","12","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","5","25","10","10","10","5","10","5","0","YES","NO","YES","NO","NO","YES","NO","PPT"
"Azerbaijan","Sweden","Original","2016","2017","In Force","0.3","0.35","0.44","0.13","0.24","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","20","15","8","8","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","OTHER"
"Azerbaijan","Malta","Original","2016","2017","In Force","0.37","0.3","0.56","0.25","0.35","12","YES","6","YES","YES","NO","YES","YES","NO","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Israel","Original","2016","2018","In Force","0.33","0.42","0.31","0.25","0.24","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","15","","15","10","10","10","10","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Azerbaijan","Denmark","Original","2017","2018","In Force","0.3","0.35","0.31","0.25","0.24","12","NO","6","YES","YES","NO","YES","NO","NO","NO","NO","5","20","15","8","8","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Azerbaijan","Turkmenistan","Original","2018","2020","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","Kazakhstan","Amended by protocol","2017","2018","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Philippines","Original","2001","2004","In Force","0.63","0.43","0.72","0.75","0.71","6","YES","6","NO","NO","YES","NO","NO","YES","YES","YES","10","10","15","10","10","10","15","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bahrain","Sri Lanka","Original","2011","2015","In Force","0.73","0.48","0.97","0.75","0.88","6","YES","6","NO","NO","YES","YES","YES","YES","YES","YES","7.5","","10","10","10","10","10","10","10","NO","NO","YES","YES","YES","NO","NO","NA"
"Bahrain","Jordan","Original","2000","2002","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Morocco","Original","2000","2002","In Force","0.52","0.34","0.59","0.63","0.59","6","YES","6","YES","YES","NO","YES","YES","NO","YES","NO","5","10","10","10","10","10","10","10","0","YES","NO","YES","YES","YES","NO","NO","NA"
"Algeria","Bahrain","Original","2000","2004","In Force","0.36","0","0.47","0.63","0.53","6","YES","6","YES","YES","NO","NO","YES","NO","YES","NO","0","","0","0","0","0","0","0","0","YES","NO","YES","YES","YES","NO","NO","NA"
"Bahrain","Syria","Original","2000","2002","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Iran","Original","2002","2005","In Force","0.33","0.19","0.56","0.25","0.35","12","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","5","","5","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Bahrain","Yemen","Original","2002","2005","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Lebanon","Original","2003","2006","In Force","0.41","0","0.72","0.5","0.59","6","NO","9","NO","NO","NO","YES","YES","NO","YES","NO","0","","0","0","0","0","0","0","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Bahrain","Sudan","Original","2006","2010","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","Uzbekistan","Original","2009","2012","In Force","0.51","0.3","0.84","0.38","0.59","6","YES","6","NO","NO","YES","YES","NO","YES","NO","NO","8","","8","8","8","8","8","8","0","YES","NO","YES","NO","NO","NO","NO","OTHER"
"Bahrain","Seychelles","Original","2010","2013","In Force","0.17","0.06","0.31","0.13","0.18","12","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","0","","0","0","0","5","5","5","0","NO","NO","NO","NO","YES","NO","NO","NA"
"Bahrain","Mexico","Original","2010","2013","In Force","0.56","0.47","0.72","0.5","0.59","6","YES","6","NO","NO","NO","YES","NO","NO","YES","NO","NO LIMIT","","NO LIMIT","10","4.9","10","10","10","0","YES","NO","YES","NO","YES","NO","YES","PPT"
"Bahrain","Turkmenistan","Original","2011","2013","In Force","0.19","0.38","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","NO","NO","NO","NO","NO","NA"
"Bahrain","Georgia","Original","2011","2013","In Force","0.07","0","0.09","0.13","0.12","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","","0","0","0","0","0","0","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bahrain","Tajikistan","Original","2014","2017","In Force","0.21","0.3","0.34","0","0.18","6","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","8","","8","8","8","8","8","8","0","NO","NO","NO","NO","NO","NO","NO","NA"
"Bahrain","Bangladesh","Original","2015","2019","In Force","0.42","0.41","0.47","0.38","0.41","6","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","10","10","15","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Bahrain","Egypt","Original","2016","2019","In Force","0.44","0.34","0.47","0.5","0.47","6","YES","6","YES","YES","NO","YES","NO","NO","YES","NO","5","25","10","10","10","10","10","10","0","NO","YES","YES","NO","YES","NO","NO","PPT"
"Bahrain","China","Amended by protocol","2013","2016","In Force","0.4","0.38","0.31","0.5","0.35","12","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","NA"
"Bahrain","Thailand","Amended by protocol","2017","2018","In Force","0.65","0.47","0.84","0.63","0.71","6","YES","6","NO","NO","YES","NO","YES","NO","YES","YES","10","","10","15","10","15","15","15","0","NO","YES","YES","NO","YES","NO","NO","NA"
"Bahrain","Pakistan","Amended by protocol","2019","2020","In Force","0.52","0.46","0.47","0.63","0.59","6","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","10","","10","10","10","10","10","0","10","NO","NO","YES","YES","YES","NO","NO","NA"
